                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4838,                 5.0684,                 1.2743,                 0.8305,                0.76996,                0.85818,                0.57937,                 1.1656,                 1.6883,                 1.0984,                 0.0829,                 0.0019,                 0.0019
                      1,                 1.0593,                 1.0995,                  1.139,                0.91284,                0.95714,                0.96256,                0.70058,                0.96349,                0.95329,                0.99747,                 0.0649,              0.0038996,              0.0038996
                      2,                 1.0067,                0.85448,                 1.0878,                0.95176,                    0.9,                 0.9655,                0.74745,                0.92035,                0.58162,                0.97469,               0.046899,              0.0058988,              0.0058988
                      3,                 1.0085,                0.93184,                 1.0569,                 0.9708,                 0.9501,                0.98422,                0.74677,                0.94611,                0.60028,                0.98658,               0.028898,              0.0078977,              0.0078977
                      4,                0.98929,                0.88946,                 1.0857,                0.92922,                0.98571,                0.96741,                0.67392,                0.99354,                0.82757,                  1.003,               0.010896,              0.0098961,              0.0098961
                      5,                 1.0748,                0.85929,                 1.1053,                0.90678,                0.92857,                0.95835,                0.68276,                 1.0269,                0.71063,                 1.0487,               0.009995,               0.009995,               0.009995
                      6,                0.96068,                0.88135,                 1.0372,                0.69968,                0.89863,                0.76008,                 0.5319,                0.94474,                 2.0715,                 1.0951,               0.009995,               0.009995,               0.009995
                      7,                 1.0299,                0.79998,                 1.0801,                0.86487,                0.82857,                0.90212,                0.65953,                0.93709,                 1.0653,                 1.0154,              0.0099941,              0.0099941,              0.0099941
                      8,                 1.0437,                0.80123,                 1.0821,                0.72114,                0.70196,                0.75915,                0.55342,                 1.0086,                 1.3422,                  1.179,              0.0099931,              0.0099931,              0.0099931
                      9,                 1.0208,                0.71564,                  1.059,                0.87762,                0.92209,                0.92809,                 0.6711,                0.96512,                 1.0217,                  1.128,              0.0099921,              0.0099921,              0.0099921
                     10,                 1.0207,                0.78188,                 1.0929,                0.95092,                0.88571,                0.96563,                0.73657,                0.94165,                0.67131,                 1.0218,              0.0099911,              0.0099911,              0.0099911
                     11,                 1.0598,                0.70114,                 1.0629,                0.92708,                      1,                0.98259,                0.70771,                0.97759,                 1.0095,                 1.0242,              0.0099901,              0.0099901,              0.0099901
                     12,                 1.0779,                0.73023,                 1.1058,                0.91304,                0.98571,                0.96965,                0.69172,                0.98913,                 1.0942,                 1.0997,              0.0099891,              0.0099891,              0.0099891
                     13,                 1.0744,                0.70337,                 1.0674,                0.91634,                0.93891,                0.95486,                0.68761,                0.97927,                0.79672,                  1.074,              0.0099881,              0.0099881,              0.0099881
                     14,                 1.0359,                0.67239,                 1.0949,                0.96866,                0.88306,                0.95387,                0.70716,                0.89412,                0.71975,                 1.0458,              0.0099871,              0.0099871,              0.0099871
                     15,                  0.979,                0.69387,                 1.0494,                 0.9452,                0.98562,                0.98923,                0.74538,                0.84055,                0.77691,                0.98562,              0.0099861,              0.0099861,              0.0099861
                     16,                 1.0145,                0.68119,                 1.0909,                0.93179,                0.88571,                0.94422,                0.71425,                0.88447,                0.87505,                 1.0052,              0.0099851,              0.0099851,              0.0099851
                     17,                 1.0056,                 0.6783,                 1.1158,                0.87156,                0.87249,                0.91985,                0.66142,                0.90006,                0.83627,                 1.0163,              0.0099842,              0.0099842,              0.0099842
                     18,                0.99083,                0.64575,                 1.0463,                0.87042,                      1,                0.89891,                 0.6309,                0.94415,                 1.1326,                 1.0256,              0.0099832,              0.0099832,              0.0099832
                     19,                 1.0228,                0.68318,                 1.0597,                0.99955,                0.88571,                0.97122,                0.72403,                 1.0548,                0.66696,                 1.0964,              0.0099822,              0.0099822,              0.0099822
                     20,                0.99751,                0.66015,                 1.0833,                0.93419,                0.95714,                0.98706,                0.76278,                0.88341,                0.65108,                0.99175,              0.0099812,              0.0099812,              0.0099812
                     21,                0.99633,                0.65673,                 1.0321,                 0.9379,                0.94286,                0.96279,                0.66104,                 1.0574,                0.79968,                 1.0834,              0.0099802,              0.0099802,              0.0099802
                     22,                 1.0205,                0.62457,                  1.101,                0.97095,                0.95511,                0.98507,                0.73081,                0.86061,                0.58771,                0.97099,              0.0099792,              0.0099792,              0.0099792
                     23,                0.91109,                0.63977,                 1.0312,                0.97556,                0.97143,                0.99366,                0.74246,                0.97336,                0.66236,                 1.0399,              0.0099782,              0.0099782,              0.0099782
                     24,                 0.9739,                0.62513,                 1.0649,                0.97071,                 0.9469,                0.98787,                 0.7747,                0.91857,                0.71333,                0.95694,              0.0099772,              0.0099772,              0.0099772
                     25,                0.97977,                 0.6339,                 1.0669,                 0.9495,                0.98571,                0.98795,                0.74752,                0.91593,                0.68411,                0.96994,              0.0099762,              0.0099762,              0.0099762
                     26,                0.92436,                0.57797,                 1.0103,                0.95539,                0.94286,                0.97815,                0.74227,                0.94421,                0.57418,                0.97669,              0.0099752,              0.0099752,              0.0099752
                     27,                0.94191,                0.58376,                 1.0547,                0.95853,                0.99055,                 0.9933,                0.76108,                0.96183,                0.56507,                0.98036,              0.0099743,              0.0099743,              0.0099743
                     28,                 1.0216,                0.59788,                 1.0748,                0.96759,                0.97143,                 0.9907,                 0.7981,                0.81489,                0.54249,                 0.9444,              0.0099733,              0.0099733,              0.0099733
                     29,                0.91412,                0.56738,                 1.0338,                0.98501,                0.93865,                 0.9846,                0.76319,                0.89207,                 0.5341,                0.98386,              0.0099723,              0.0099723,              0.0099723
                     30,                0.88191,                0.55062,                 1.0458,                0.97005,                0.92529,                0.95626,                0.74241,                0.93346,                 0.6024,                0.98698,              0.0099713,              0.0099713,              0.0099713
                     31,                0.90683,                0.57767,                 1.0452,                 0.8675,                0.84176,                0.92842,                0.71521,                0.97381,                0.77044,                 1.0333,              0.0099703,              0.0099703,              0.0099703
                     32,                0.91987,                0.54713,                 1.0639,                0.97301,                0.95714,                0.99152,                0.77343,                0.82844,                 0.5129,                0.95556,              0.0099693,              0.0099693,              0.0099693
                     33,                0.91712,                0.58139,                 1.0159,                      1,                0.91163,                0.97299,                0.78086,                 0.7778,                0.55629,                0.94129,              0.0099683,              0.0099683,              0.0099683
                     34,                0.90713,                0.59138,                 1.0194,                0.85076,                0.97731,                0.96459,                0.78292,                0.85191,                0.54779,                0.95507,              0.0099673,              0.0099673,              0.0099673
                     35,                0.89978,                0.57228,                 1.0574,                0.94339,                0.95232,                0.98492,                 0.7968,                0.79524,                0.55108,                0.94638,              0.0099663,              0.0099663,              0.0099663
                     36,                0.94013,                0.56356,                 1.0258,                0.96557,                0.98571,                0.99372,                0.79178,                0.83116,                0.55585,                0.99357,              0.0099653,              0.0099653,              0.0099653
                     37,                 0.8737,                0.56822,                  1.018,                0.94004,                0.97143,                0.97233,                0.76336,                 0.8002,                0.58602,                0.98504,              0.0099644,              0.0099644,              0.0099644
                     38,                0.89035,                0.58265,                 1.0542,                0.99555,                0.97143,                0.98641,                0.80697,                0.72363,                0.50282,                0.93035,              0.0099634,              0.0099634,              0.0099634
                     39,                0.89491,                0.57704,                 1.0282,                0.94084,                0.95714,                0.98346,                0.77067,                0.76613,                0.51942,                0.95087,              0.0099624,              0.0099624,              0.0099624
                     40,                0.85393,                0.55026,                 1.0011,                0.94686,                0.95714,                0.98611,                0.76352,                0.82249,                0.53098,                0.97234,              0.0099614,              0.0099614,              0.0099614
                     41,                0.86981,                0.53558,                0.99621,                0.98558,                0.97656,                0.98904,                0.80792,                0.71773,                0.46499,                0.92882,              0.0099604,              0.0099604,              0.0099604
                     42,                0.86472,                 0.5284,                 1.0059,                0.98093,                0.94286,                 0.9819,                0.77901,                0.78357,                0.53511,                0.98079,              0.0099594,              0.0099594,              0.0099594
                     43,                0.86121,                0.55765,                 1.0407,                0.97989,                0.94286,                0.98103,                0.77117,                 0.7518,                0.50351,                0.96238,              0.0099584,              0.0099584,              0.0099584
                     44,                0.89053,                0.53743,                 1.0168,                      1,                0.97141,                0.99379,                 0.8074,                0.74025,                0.44607,                0.92933,              0.0099574,              0.0099574,              0.0099574
                     45,                0.85535,                0.54876,                 1.0336,                0.98934,                      1,                  0.995,                0.81744,                0.71944,                0.48325,                0.92231,              0.0099564,              0.0099564,              0.0099564
                     46,                0.86269,                0.53338,                 1.0222,                0.98857,                      1,                  0.995,                0.81305,                0.68993,                0.40246,                0.90396,              0.0099554,              0.0099554,              0.0099554
                     47,                0.86238,                0.51628,                0.99648,                0.99662,                      1,                  0.995,                 0.8218,                0.72281,                0.42914,                0.90239,              0.0099545,              0.0099545,              0.0099545
                     48,                0.84188,                0.52945,                 1.0018,                0.95784,                0.97362,                0.99392,                0.81411,                0.69096,                0.44475,                0.90074,              0.0099535,              0.0099535,              0.0099535
                     49,                0.86025,                0.52301,                0.99504,                0.99388,                      1,                  0.995,                0.84331,                0.66689,                0.46225,                0.90728,              0.0099525,              0.0099525,              0.0099525
                     50,                0.81633,                0.51543,                 1.0004,                0.97921,                0.95714,                0.99072,                0.82923,                  0.697,                 0.5055,                0.90622,              0.0099515,              0.0099515,              0.0099515
                     51,                 0.8218,                0.51225,                 1.0345,                0.98585,                0.99568,                0.99472,                0.81485,                0.67441,                0.40581,                0.90069,              0.0099505,              0.0099505,              0.0099505
                     52,                0.79632,                0.50867,                0.97529,                0.98015,                0.97143,                0.98724,                0.79969,                0.71122,                0.45397,                0.90157,              0.0099495,              0.0099495,              0.0099495
                     53,                0.78245,                 0.4953,                0.98744,                0.99367,                      1,                  0.995,                0.81027,                 0.6988,                0.41941,                0.91541,              0.0099485,              0.0099485,              0.0099485
                     54,                0.78768,                0.50124,                0.98666,                 0.9859,                  0.999,                0.99486,                 0.8133,                0.73841,                0.43667,                0.93908,              0.0099475,              0.0099475,              0.0099475
                     55,                0.81602,                0.50119,                0.99667,                0.99805,                0.92857,                0.97102,                0.75831,                0.78055,                0.52016,                 1.0179,              0.0099465,              0.0099465,              0.0099465
                     56,                 0.8357,                0.51108,                0.99789,                      1,                0.97015,                0.98637,                0.78234,                0.76368,                 0.4785,                0.99696,              0.0099455,              0.0099455,              0.0099455
                     57,                0.77879,                0.49065,                0.97384,                0.99353,                0.94286,                0.98934,                0.74323,                 0.8115,                0.51958,                0.98972,              0.0099446,              0.0099446,              0.0099446
                     58,                0.80478,                0.49378,                0.99186,                0.97064,                0.94473,                0.98555,                0.77069,                0.76425,                0.47855,                0.95396,              0.0099436,              0.0099436,              0.0099436
                     59,                 0.7993,                0.52163,                0.99257,                0.98465,                0.91651,                0.98509,                0.81518,                0.72991,                 0.4838,                0.90277,              0.0099426,              0.0099426,              0.0099426
                     60,                0.78339,                0.50752,                0.98405,                0.98681,                0.97143,                0.98592,                0.81409,                0.73497,                0.45969,                0.89953,              0.0099416,              0.0099416,              0.0099416
                     61,                0.77174,                0.48364,                0.97508,                  0.991,                0.97143,                0.98981,                0.83286,                 0.6692,                0.43806,                0.88989,              0.0099406,              0.0099406,              0.0099406
                     62,                0.78325,                0.49122,                0.97936,                0.99821,                0.95714,                0.99261,                0.83276,                0.68258,                0.42405,                0.89503,              0.0099396,              0.0099396,              0.0099396
                     63,                0.75394,                0.50596,                 0.9645,                0.99487,                0.97143,                0.99372,                0.80203,                0.77709,                0.44766,                0.92982,              0.0099386,              0.0099386,              0.0099386
                     64,                0.77799,                  0.511,                0.99868,                0.98332,                0.95714,                0.99294,                0.82044,                 0.6925,                0.43601,                0.90699,              0.0099376,              0.0099376,              0.0099376
                     65,                0.74831,                 0.4848,                 1.0021,                0.98532,                0.98571,                0.99459,                0.81507,                0.68435,                0.43167,                0.92229,              0.0099366,              0.0099366,              0.0099366
                     66,                0.77723,                0.48391,                 1.0103,                0.98225,                0.98571,                0.99445,                0.81769,                0.68221,                0.40361,                 0.9266,              0.0099356,              0.0099356,              0.0099356
                     67,                0.76146,                0.48075,                0.97951,                      1,                0.98329,                0.99093,                0.80348,                0.69009,                0.38736,                0.91867,              0.0099347,              0.0099347,              0.0099347
                     68,                0.77055,                0.46534,                 1.0002,                 0.9582,                0.98237,                0.99361,                0.80022,                0.66108,                0.45944,                 0.9045,              0.0099337,              0.0099337,              0.0099337
                     69,                0.76049,                0.46686,                0.99204,                0.97308,                    0.9,                 0.9859,                0.81281,                0.71461,                0.42999,                0.97445,              0.0099327,              0.0099327,              0.0099327
                     70,                0.73969,                0.45657,                 0.9569,                0.96953,                0.94286,                0.97936,                0.82014,                0.68801,                0.45021,                0.94541,              0.0099317,              0.0099317,              0.0099317
                     71,                0.69688,                0.45275,                0.95023,                0.97034,                0.98571,                0.99255,                0.81316,                0.65965,                0.39158,                0.99705,              0.0099307,              0.0099307,              0.0099307
                     72,                 0.7446,                0.49017,                0.98188,                0.95949,                      1,                0.99095,                0.81753,                0.66573,                0.40293,                0.92999,              0.0099297,              0.0099297,              0.0099297
                     73,                0.72623,                0.47335,                0.98597,                0.92963,                0.98571,                0.98788,                0.82786,                0.62562,                0.44504,                0.89408,              0.0099287,              0.0099287,              0.0099287
                     74,                0.72648,                0.44955,                0.95825,                0.97072,                0.97143,                0.99104,                0.82571,                0.63007,                0.40604,                0.90604,              0.0099277,              0.0099277,              0.0099277
                     75,                0.70951,                0.44928,                0.96706,                0.98302,                0.98571,                 0.9929,                0.82123,                0.70962,                0.41869,                0.91553,              0.0099267,              0.0099267,              0.0099267
                     76,                0.72861,                0.47689,                0.93767,                0.92908,                      1,                0.98591,                0.82046,                0.63505,                0.46455,                0.90509,              0.0099257,              0.0099257,              0.0099257
                     77,                0.72818,                0.46274,                0.96404,                0.98249,                0.97143,                0.99289,                0.83182,                0.65991,                0.40033,                0.91542,              0.0099248,              0.0099248,              0.0099248
                     78,                0.72972,                0.46775,                 1.0209,                0.97678,                0.97143,                0.99213,                0.85063,                 0.6163,                0.38054,                0.86588,              0.0099238,              0.0099238,              0.0099238
                     79,                0.70417,                0.44913,                0.95538,                0.99943,                0.91429,                0.96352,                0.82505,                0.60422,                0.43684,                0.87177,              0.0099228,              0.0099228,              0.0099228
                     80,                0.75391,                0.46717,                 1.0011,                0.97196,                 0.9905,                0.99429,                0.83459,                0.67462,                 0.4003,                0.89928,              0.0099218,              0.0099218,              0.0099218
                     81,                0.71206,                0.44743,                0.96751,                0.97194,                0.98977,                0.99458,                 0.8444,                0.60816,                0.39744,                0.88235,              0.0099208,              0.0099208,              0.0099208
                     82,                0.71342,                0.44211,                0.95097,                      1,                0.99292,                  0.995,                0.82572,                0.64144,                0.38463,                0.90691,              0.0099198,              0.0099198,              0.0099198
                     83,                0.70718,                0.44603,                0.96007,                0.98591,                0.99939,                0.99472,                0.82694,                0.69407,                0.39949,                0.91292,              0.0099188,              0.0099188,              0.0099188
                     84,                0.72769,                0.43594,                0.97263,                0.99221,                0.98571,                0.99472,                0.84034,                0.61214,                0.36045,                0.91483,              0.0099178,              0.0099178,              0.0099178
                     85,                0.70578,                0.42323,                0.96925,                0.98588,                 0.9973,                0.99486,                0.81529,                0.70625,                  0.377,                0.97083,              0.0099168,              0.0099168,              0.0099168
                     86,                0.68698,                0.42912,                 0.9489,                0.94515,                0.98466,                0.99032,                0.82742,                0.61145,                0.40485,                0.86751,              0.0099158,              0.0099158,              0.0099158
                     87,                0.68972,                 0.4433,                0.98036,                0.96849,                0.97143,                0.99124,                0.82752,                0.62494,                0.41013,                 0.9373,              0.0099149,              0.0099149,              0.0099149
                     88,                0.71973,                0.46507,                0.98251,                0.99462,                0.97143,                0.99367,                0.84691,                0.64096,                0.36905,                0.92391,              0.0099139,              0.0099139,              0.0099139
                     89,                0.70222,                0.46329,                 0.9569,                      1,                0.98341,                0.99375,                0.85245,                0.61192,                0.36327,                0.90892,              0.0099129,              0.0099129,              0.0099129
                     90,                 0.6961,                 0.4536,                 0.9553,                      1,                0.97822,                0.99314,                0.85096,                0.65904,                0.39553,                 0.9032,              0.0099119,              0.0099119,              0.0099119
                     91,                0.70844,                0.45665,                0.97379,                0.97657,                0.97143,                0.99109,                0.84102,                 0.6184,                 0.4194,                0.87239,              0.0099109,              0.0099109,              0.0099109
                     92,                0.71409,                0.48513,                0.97907,                0.98539,                0.96341,                0.99338,                0.83871,                0.60215,                0.38788,                0.87742,              0.0099099,              0.0099099,              0.0099099
                     93,                0.68281,                0.44429,                0.96715,                 0.9857,                0.98443,                0.99416,                0.83559,                0.64424,                0.38248,                0.86657,              0.0099089,              0.0099089,              0.0099089
                     94,                0.71862,                0.44724,                0.97464,                0.98275,                0.97143,                0.98969,                0.84799,                0.57142,                 0.3659,                 0.8592,              0.0099079,              0.0099079,              0.0099079
                     95,                0.64483,                0.40829,                0.94607,                0.92578,                0.98571,                0.99175,                0.84242,                0.62921,                0.47036,                0.93205,              0.0099069,              0.0099069,              0.0099069
                     96,                0.67812,                0.43456,                0.96016,                0.95333,                0.98571,                0.98234,                0.83786,                0.57798,                0.38961,                0.87367,              0.0099059,              0.0099059,              0.0099059
                     97,                0.67228,                0.46319,                0.96443,                0.95823,                0.98323,                0.98213,                0.83185,                0.58024,                 0.3871,                0.94381,               0.009905,               0.009905,               0.009905
                     98,                0.64908,                0.42722,                0.96364,                0.98162,                0.91429,                0.95663,                0.81512,                0.64982,                0.49597,                0.90712,               0.009904,               0.009904,               0.009904
                     99,                0.69496,                0.45809,                0.96766,                      1,                0.95544,                0.98222,                0.84595,                0.61873,                0.39711,                0.91582,               0.009903,               0.009903,               0.009903
                    100,                0.69951,                0.43597,                0.97259,                0.99868,                      1,                  0.995,                0.85644,                0.61203,                0.35062,                0.89171,               0.009902,               0.009902,               0.009902
                    101,                0.67911,                0.42354,                0.96331,                0.98069,                      1,                  0.995,                0.85211,                0.58165,                0.37289,                0.87459,               0.009901,               0.009901,               0.009901
                    102,                 0.6474,                0.42134,                0.96757,                0.98344,                      1,                 0.9919,                 0.8241,                0.62307,                0.36853,                0.87377,                 0.0099,                 0.0099,                 0.0099
                    103,                0.67788,                0.42634,                0.93937,                0.98302,                0.97143,                0.99202,                0.82606,                0.70907,                0.40113,                0.95497,               0.009899,               0.009899,               0.009899
                    104,                0.65713,                0.42552,                 0.9558,                0.99966,                0.95714,                0.98192,                0.82615,                0.63759,                0.43023,                0.89716,               0.009898,               0.009898,               0.009898
                    105,                 0.6203,                0.41954,                0.92737,                0.99859,                0.97143,                0.99405,                0.85376,                0.54965,                0.34563,                0.85355,               0.009897,               0.009897,               0.009897
                    106,                 0.6272,                0.42252,                0.94309,                0.99816,                0.95714,                0.98674,                0.85374,                0.60527,                0.37967,                0.86511,               0.009896,               0.009896,               0.009896
                    107,                0.65822,                0.41201,                0.94039,                0.99745,                0.95714,                 0.9916,                0.84326,                0.60993,                0.35895,                0.89677,               0.009895,               0.009895,               0.009895
                    108,                0.65951,                 0.4195,                0.96762,                0.99873,                0.97143,                0.99444,                0.84049,                0.68245,                0.36885,                0.98173,              0.0098941,              0.0098941,              0.0098941
                    109,                0.66251,                0.42676,                0.94029,                0.99792,                0.97143,                0.99147,                0.84084,                0.65455,                 0.3669,                0.94355,              0.0098931,              0.0098931,              0.0098931
                    110,                 0.6502,                0.42138,                0.94177,                0.98457,                      1,                0.99486,                0.83713,                0.57286,                0.35624,                0.85846,              0.0098921,              0.0098921,              0.0098921
                    111,                0.66394,                0.42669,                0.95727,                0.99892,                0.98571,                0.99409,                0.83751,                0.63477,                0.37009,                0.89588,              0.0098911,              0.0098911,              0.0098911
                    112,                 0.6718,                0.41582,                0.97105,                      1,                0.98848,                  0.995,                0.83516,                0.60091,                 0.3724,                0.88637,              0.0098901,              0.0098901,              0.0098901
                    113,                0.64268,                0.41565,                0.95447,                0.96648,                0.98571,                0.98847,                0.84917,                0.57513,                0.36938,                0.86697,              0.0098891,              0.0098891,              0.0098891
                    114,                0.64757,                 0.4269,                 0.9305,                0.98526,                0.95465,                0.97974,                0.83606,                0.60799,                0.40059,                0.87824,              0.0098881,              0.0098881,              0.0098881
                    115,                0.66078,                0.42514,                0.95097,                 0.9984,                0.98571,                0.99245,                0.84023,                0.61056,                0.34587,                0.88722,              0.0098871,              0.0098871,              0.0098871
                    116,                0.61948,                0.41614,                0.92405,                      1,                0.98431,                0.99459,                0.84796,                0.58288,                 0.3393,                0.92654,              0.0098861,              0.0098861,              0.0098861
                    117,                0.63958,                0.39944,                0.96178,                 0.9986,                      1,                  0.995,                0.86105,                0.56891,                0.32491,                0.92244,              0.0098851,              0.0098851,              0.0098851
                    118,                0.62936,                 0.4162,                0.93302,                0.98387,                      1,                 0.9943,                0.86622,                0.50994,                0.33341,                0.84757,              0.0098842,              0.0098842,              0.0098842
                    119,                0.64225,                0.40913,                0.92744,                0.99713,                      1,                  0.995,                0.86646,                0.55752,                0.31988,                0.84373,              0.0098832,              0.0098832,              0.0098832
                    120,                0.61966,                0.40144,                0.92107,                 0.9986,                      1,                  0.995,                 0.8659,                0.51655,                0.31604,                0.83831,              0.0098822,              0.0098822,              0.0098822
                    121,                0.63756,                0.40611,                0.96185,                      1,                0.98373,                0.99486,                0.86185,                0.55804,                0.37967,                0.84317,              0.0098812,              0.0098812,              0.0098812
                    122,                0.61119,                0.39049,                0.93043,                0.99852,                      1,                  0.995,                0.87563,                0.51491,                0.31887,                0.85318,              0.0098802,              0.0098802,              0.0098802
                    123,                0.65804,                0.40987,                0.93338,                0.99519,                0.98571,                0.99486,                 0.8554,                 0.6084,                0.36167,                0.94539,              0.0098792,              0.0098792,              0.0098792
                    124,                0.61089,                0.41427,                0.92077,                      1,                0.99821,                  0.995,                0.87477,                0.54904,                 0.3292,                0.87925,              0.0098782,              0.0098782,              0.0098782
                    125,                 0.6091,                0.40881,                0.92567,                0.99781,                      1,                  0.995,                0.87031,                0.52669,                 0.3448,                0.86239,              0.0098772,              0.0098772,              0.0098772
                    126,                0.60293,                0.41168,                0.94611,                0.97164,                0.97896,                0.99191,                0.85665,                0.50505,                0.37987,                0.84806,              0.0098762,              0.0098762,              0.0098762
                    127,                0.64048,                0.41239,                0.93617,                0.99617,                      1,                  0.995,                0.85696,                0.52401,                0.34135,                 0.8367,              0.0098752,              0.0098752,              0.0098752
                    128,                 0.6205,                0.39343,                0.93342,                0.99007,                      1,                  0.995,                0.82434,                0.61017,                0.37967,                0.87639,              0.0098743,              0.0098743,              0.0098743
                    129,                0.62108,                0.41798,                 0.9216,                0.99466,                      1,                  0.995,                0.85273,                0.55476,                 0.3454,                0.86286,              0.0098733,              0.0098733,              0.0098733
                    130,                0.62291,                 0.3876,                0.94979,                0.99831,                      1,                  0.995,                0.84995,                0.51832,                0.31663,                0.85678,              0.0098723,              0.0098723,              0.0098723
                    131,                0.61941,                0.39255,                0.94473,                0.99841,                      1,                  0.995,                0.85157,                0.57128,                0.33304,                0.87797,              0.0098713,              0.0098713,              0.0098713
                    132,                0.64131,                0.38991,                0.94336,                0.97095,                      1,                0.99415,                0.88197,                0.51839,                0.30554,                0.86072,              0.0098703,              0.0098703,              0.0098703
                    133,                0.61133,                0.41974,                0.93813,                0.98558,                0.97629,                0.99445,                0.85775,                0.52717,                0.32586,                0.86501,              0.0098693,              0.0098693,              0.0098693
                    134,                0.60923,                0.41308,                0.97056,                0.99273,                0.97143,                 0.9929,                0.85285,                0.54527,                0.34838,                0.88886,              0.0098683,              0.0098683,              0.0098683
                    135,                0.63542,                0.40625,                0.95824,                      1,                0.99787,                  0.995,                0.85529,                0.56041,                 0.3321,                0.89212,              0.0098673,              0.0098673,              0.0098673
                    136,                0.59708,                0.39586,                0.91952,                0.99732,                      1,                  0.995,                0.85008,                0.55117,                0.32341,                0.85926,              0.0098663,              0.0098663,              0.0098663
                    137,                0.60671,                 0.3923,                0.93728,                 0.9987,                      1,                  0.995,                0.86382,                0.58158,                0.34496,                0.88586,              0.0098653,              0.0098653,              0.0098653
                    138,                0.58271,                0.38633,                0.92952,                0.97862,                      1,                0.99303,                0.87197,                0.54732,                0.32712,                0.88718,              0.0098644,              0.0098644,              0.0098644
                    139,                 0.5755,                0.38626,                0.88918,                0.99817,                0.98571,                0.99472,                0.86966,                 0.5431,                0.32155,                0.85223,              0.0098634,              0.0098634,              0.0098634
                    140,                0.64332,                0.41846,                 0.9585,                0.98569,                0.98384,                0.99361,                0.86052,                0.56906,                0.32306,                0.85573,              0.0098624,              0.0098624,              0.0098624
                    141,                0.63122,                0.40288,                0.94211,                      1,                0.98381,                0.98812,                0.87498,                0.53446,                0.33537,                0.83927,              0.0098614,              0.0098614,              0.0098614
                    142,                0.62031,                0.39538,                0.92925,                      1,                0.96979,                0.98723,                 0.8431,                0.57462,                0.37106,                0.90494,              0.0098604,              0.0098604,              0.0098604
                    143,                0.63557,                0.45127,                0.95966,                0.98589,                      1,                0.99472,                0.83856,                0.58666,                0.33854,                0.89602,              0.0098594,              0.0098594,              0.0098594
